FY,Department,Division,Month,Category,Category_Group,Perm_Budget,Current_Budget,Expenditure,Balance,Date,Fiscal_Month,Month_Name
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Salaries,Salaries,213291.4,153855.40000000002,179453.32,-25597.919999999984,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Fringes,Fringes,74626,74626,70694.33,3931.6699999999983,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Other,Other,0,0,30.66,-30.66,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Clothing/Supplies/Postage,Supplies & Printing,1200,1200,981.9,218.10000000000002,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,University/FMD/Data/Fuel,Other,0,0,80.59,-80.59,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,1080,1080,1138.2,-58.200000000000045,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Hardware/Software,Software & Maintenance,2400,2400,83841.8,-81441.8,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Audio Visual Equipment,Equipment & Hardware,0,0,905.67,-905.67,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Recoveries/Internal Serv. Charge,Recoveries & Revenue,-35000,-35000,-21850,-13150,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,IT/Univ. Salaries,Salaries,671092.2,671092.2,799883.3,-128791.1000000001,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Student/Hourly Wages,Salaries,28000,28000,32093.74,-4093.7400000000016,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Bonus,Bonus/OT/VSDP,0,0,2000,-2000,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,On Call,Bonus/OT/VSDP,0,0,192,-192,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Fringes,Fringes,219864,219864,317068.98000000004,-97204.98000000004,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Technical/Contractual Services,Contractual & Services,56855,56855,27865.32,28989.68,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Supplies/Printing/Postage,Supplies & Printing,10000,10000,6375.959999999999,3624.040000000001,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,1520,1520,3050.5699999999997,-1530.5699999999997,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Training/Travel/Memberships,Training & Travel,8625,8625,27754.7,-19129.7,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Internal Service Charge,Recoveries & Revenue,0,0,-356094.68,356094.68,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Maintenance,Software & Maintenance,79729,79729,278307.8,-198578.8,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Hardware/RAMTech,Equipment & Hardware,20000,32305,16693.71,15611.29,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,IT/Univ. Salaries,Salaries,445421.8,445421.8,526516.53,-81094.73000000004,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Hourly,Salaries,0,0,20992.24,-20992.24,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Hourly Fringe,Salaries,0,0,1689.31,-1689.31,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Fringes,Fringes,148424,148424,208216.88999999998,-59792.889999999985,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,-360,-360,838.09,-1198.0900000000001,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,IT/Univ. Salaries,Salaries,385683.8,385683.8,282486.39,103197.40999999997,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Fringes,Fringes,131645,131645,111603.51999999999,20041.48000000001,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Printing,Supplies & Printing,0,0,1.04,-1.04,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Telecomm,Telecomm & Network,1340,1340,1749.81,-409.80999999999995,2024-06-30,12,Jun
FY24,Information Security,Information Security,a/o 6/30/24,Software/Maintenance,Software & Maintenance,152682,152682,117015.61,35666.39,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Services,Other,0,0,888,-888,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Maintenance,Software & Maintenance,0,0,37970,-64285,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Supplies,Supplies & Printing,0,0,4417.16,-4417.16,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,InfoTech/Univ Salaries/VSDP,Salaries,695848.03,695848.03,1072226.08,-376378.05000000005,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Bonuses,Bonus/OT/VSDP,3000,3000,3400,-400,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,OT,Other,0,0,7510.05,-7510.05,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,On Call,Bonus/OT/VSDP,0,0,943.38,-943.38,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Student/Hourly Wages,Salaries,46000,46000,82349.18,-36349.17999999999,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Fringe Part time,Fringes,1577,1577,198.92,1378.08,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Fringes,Fringes,200774,200774,418064.15,-217290.15000000002,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Recoveries/SLA's,Recoveries & Revenue,-30000,-30000,-531009.98,501009.98,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Technical/Printing,Supplies & Printing,0,0,20.46,-20.46,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Clothing/Supplies/Postage,Supplies & Printing,4400,4400,4223.6,176.39999999999964,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Training/Travel,Training & Travel,6325,6325,2000,4325,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,University/FMD/Parking,Other,0,0,4464,-4464,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,3600,3600,6091.469999999999,-2491.4699999999993,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Software/Maintenance,Software & Maintenance,0,0,3267.19,-3267.19,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Equipment /RAMTECH,Equipment & Hardware,8800,8800,9684.88,-884.8799999999992,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Hourly Wages,Salaries,0,0,31468.5,-31468.5,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,University Salary/VSDP/OT,Salaries,19320.8,20797.8,108324.54000000001,-87526.74,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Fringe,Fringes,1997,1997,42736.65,-40739.65,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Supplies/Employee Clothing,Supplies & Printing,0,123851,57845.03,66005.97,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Contractual,Contractual & Services,0,0,103.28,-103.28,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Bank Charges,Other,0,0,612.55,-612.55,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Revenue,Recoveries & Revenue,0,0,-201860.23,201860.23,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Internal Service Charge,Recoveries & Revenue,0,0,-7327.85,7327.85,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,0,0,21.2,-21.2,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Salaries,Salaries,531483.6,531483.6,515262.32,16221.27999999997,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,On Call,Bonus/OT/VSDP,0,0,471,-471,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Bonuses,Bonus/OT/VSDP,4333,4333,2001,2332,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Student/Hourly Wages,Salaries,80417,80417,328382.07,-247965.07,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Fringe PT,Fringes,6645,6645,18745.21,-12100.21,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Fringes,Fringes,189344,189344,198094.87,-8750.869999999995,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,OnePrint SLA/Printing,Supplies & Printing,0,0,104.3,-104.3,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Contractual/Other,Bonus/OT/VSDP,0,0,29.34,-29.34,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Clothing/Supplies/Postage,Supplies & Printing,10600,10600,19006.24,-8406.240000000002,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Training/Travel,Training & Travel,9966,9966,1043,8923,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,University/FMD/Lease,Other,0,0,159.7,-159.7,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,44120,44120,40373.09999999999,3746.9000000000087,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Maintenance,Software & Maintenance,0,0,7442.52,-7442.52,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Recoveries/VCU Online,Recoveries & Revenue,-40000,-40000,-71504,31504,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Equipment Maintenance,Software & Maintenance,425837,425837,127471.78,298365.22,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Electrical Maintenance/Service,Software & Maintenance,0,0,30675.36,-30675.36,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,FMD,Other,0,0,142,-142,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Other,Other,0,0,-2466.37,2466.37,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Equipment Install,Equipment & Hardware,0,0,298446.76,-298446.76,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Recoveries,Recoveries & Revenue,0,0,-1560,1560,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Classified Salary/VSDP,Salaries,196571.72,196571.72,557068.52,-360496.80000000005,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Classified /Univ OT,Other,8571.6,8571.6,17652.56,-9080.960000000001,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,On Call,Bonus/OT/VSDP,0,0,650.9,-650.9,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Bonus,Bonus/OT/VSDP,0,0,2000,-2000,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Hourly/Student Wages,Salaries,65000,65000,137562.86,-72562.85999999999,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Fringe PT,Fringes,2538,2538,4155.27,-1617.2700000000004,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Fringes,Fringes,149525,149525,212735.40000000002,-63210.40000000002,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Express/Messenger Services,Other,26500,26500,1050.5,25449.5,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Contractual - Printing/Advertising,Supplies & Printing,50838,100638,10536.4,90101.6,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Electrical/Hardware Maintenance,Software & Maintenance,168110,168110,300.97,167809.03,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Software,Software & Maintenance,0,0,859.84,-859.84,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Supplies,Supplies & Printing,35600,35600,28370.420000000006,7229.5799999999945,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Other,Other,0,0,561.88,-561.88,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Photographic Supplies,Supplies & Printing,110055,110055,168326,-58271,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Fuel/Parking,Other,1000,1000,5897.35,-4897.35,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Freight/Postage/Mail,Supplies & Printing,1000,1000,5222.83,-4222.83,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Telecomm,Telecomm & Network,11800,11800,6676.38,5123.62,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Training/Travel,Training & Travel,4025,4025,1378.33,2646.67,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,FMD/Data Install,Other,5000,5000,3146.46,1853.54,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Bank Charges,Other,30000,30000,15645.35,14354.65,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Equipment/RamTech,Equipment & Hardware,52846,52846,13319.77,39526.229999999996,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Recoveries/Internal charge,Recoveries & Revenue,-100036,-100036,-43356.65,-56679.35,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Sales/Services(Revenue),Recoveries & Revenue,-350000,-350000,-395871.69,45871.69,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Classified/IT Salaries,Salaries,182756.8,182756.8,160371.48,22385.319999999978,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Fringes,Fringes,63004,63004,63407.96000000001,-403.9600000000064,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Technical/ Other,Other,68063,68063,-350,68413,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Software Maintenance,Software & Maintenance,-66793,-66793,30650.74,-97443.74,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Contractual/Printing,Supplies & Printing,8432,8432,9.04,8422.96,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Supplies,Supplies & Printing,6316,6316,10863.08,-4547.08,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Fuel/Fleet,Other,0,0,269.13,-269.13,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,6520,6520,656.97,5863.03,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,University Services/FMD,Other,0,0,398,-398,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Lease Equipment,Equipment & Hardware,5000,5000,2118.26,2881.74,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Training/Travel,Training & Travel,1725,1725,1627.15,97.84999999999991,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Postage/Shipping,Supplies & Printing,1400,1400,103.16,1296.84,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Internal charge,Recoveries & Revenue,0,0,500,-500,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Classified/IT/Univ. Salaries,Salaries,375307.2,375307.2,360311.78,14995.419999999984,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Fringes,Fringes,130026,130026,142235.93000000002,-12209.930000000022,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Technical/Printing,Supplies & Printing,0,0,34612.56,-34612.56,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Clothing/Supplies/Postage,Supplies & Printing,1200,1200,766.77,433.23,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Training/Travel,Training & Travel,1725,1725,420,1305,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,960,960,1197.4,-237.4000000000001,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Maintenance,Software & Maintenance,225160,225160,297629.12,-72469.12,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Salaries,Salaries,75331.8,75331.8,76002.48,-670.679999999993,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Fringes,Fringes,26073,26073,29899.59,-3826.59,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Supplies/Postage,Supplies & Printing,3533,3533,3309.49,223.51000000000022,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Telecomm,Telecomm & Network,640,640,180,460,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Software/Hardware,Software & Maintenance,3067,3067,1104,1963,2024-06-30,12,Jun
FY24,Campus Card Services,Technical Support Services,a/o 6/30/24,Printing Services,Supplies & Printing,0,10770,-4577.61,15347.61,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Internal Service Charge,Recoveries & Revenue,0,0,-69.03,69.03,2024-06-30,12,Jun
FY24,Technology Support Services,Technical Support Services,a/o 6/30/24,Supplies,Supplies & Printing,0,0,69.03,-69.03,2024-06-30,12,Jun
FY25,Central Services,Central Services,a/o 6/30/25,Univ. Salaries,Salaries,462552,472774,483136.19,-10362.190000000002,2025-06-30,12,Jun
FY25,Central Services,Central Services,a/o 6/30/25,Bonus/OT,Bonus/OT/VSDP,0,0,8402.15,-8402.15,2025-06-30,12,Jun
FY25,Central Services,Central Services,a/o 6/30/25,Fringes,Fringes,151281,143693,186544.75999999998,-42851.75999999998,2025-06-30,12,Jun
FY25,Central Services,Central Services,a/o 6/30/25,Recovery,Recoveries & Revenue,0,0,1505.11,-1505.11,2025-06-30,12,Jun
FY25,Central Services,Central Services,a/o 6/30/25,Printing,Supplies & Printing,0,0,43.56,-43.56,2025-06-30,12,Jun
FY25,Central Services,Central Services,a/o 6/30/25,Training/Travel,Training & Travel,3257,3257,6205.37,-2948.37,2025-06-30,12,Jun
FY25,Central Services,Central Services,a/o 6/30/25,Supplies/Postage,Supplies & Printing,6000,6000,278.16999999999996,5721.83,2025-06-30,12,Jun
FY25,Central Services,Central Services,a/o 6/30/25,Telecomm,Telecomm & Network,2291,2291,1622.16,668.8399999999999,2025-06-30,12,Jun
FY25,Central Services,Central Services,a/o 6/30/25,Hardware/Software/RamTech,Software & Maintenance,5061,5061,3287.88,1773.12,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Travel/Training,Training & Travel,2875,2875,46098.6,-43223.6,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Supplies/Shipping/Printing,Supplies & Printing,4000,4000,144.57999999999998,3855.42,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,University Charges,Other,0,0,819,-819,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Telecomm,Telecomm & Network,0,0,960.78,-960.78,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Software Dev. /Maintenance,Software & Maintenance,0,16000,12679.82,3320.1800000000003,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Hourly Fringe,Salaries,0,0,5958,-5958,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,IT/ University Salaries,Salaries,427376,435604,397187.04,38416.96000000002,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Fringes,Fringes,208782,208782,153598.21,55183.79000000001,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Memberships/Publications,Training & Travel,0,40000,100153.62,-60153.619999999995,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Printing,Supplies & Printing,0,0,27.91,-27.91,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Supplies/Postage,Supplies & Printing,2510,2510,287.67,2222.33,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Electrical,Other,0,0,5306.48,-5306.48,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Telecomm/Wireless,Telecomm & Network,1440,1440,385.01,1054.99,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Hardware/Software Maintenance,Software & Maintenance,144508,144508,9458.75,135049.25,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Comcast Cable Service,Telecomm & Network,0,0,192.64,-192.64,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Building/Office Supplies,Supplies & Printing,17800,30584,19641.11,10942.89,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Lease Equipment,Equipment & Hardware,3200,3200,2049.86,1150.1399999999999,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,University Srvcs,Other,1000,1000,350,650,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Physical Plant/Repair,Other,0,0,1134.91,-1134.91,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Internal Charge,Recoveries & Revenue,0,0,43935.21,-43935.21,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Telecomm/Wireless,Telecomm & Network,4000,4000,7146.2699999999995,-3146.2699999999995,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Office Furniture,Other,20000,20000,7056.55,12943.45,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Hardware Maintenance/Network,Software & Maintenance,131000,131000,8140.64,122859.36,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Contractual,Contractual & Services,0,0,138849.72,-138849.72,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Other/Membership,Training & Travel,0,0,27473,-27473,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Software Maintenance,Software & Maintenance,0,2864827,2304778.91,560048.0899999999,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Technical/Computer Consulting,Equipment & Hardware,94000,94000,10000,84000,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Internal charge,Recoveries & Revenue,0,0,-34529.82,34529.82,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Data Supplies/Contractual,Supplies & Printing,0,2349625,369882.21,1979742.79,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Audio Visual,Other,0,0,674181.5,-674181.5,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Software,Software & Maintenance,0,0,999788.27,-999788.27,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Hardware/Equipment,Equipment & Hardware,0,522697,36131.4,486565.6,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Internal Charge,Recoveries & Revenue,0,0,50000,-50000,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Contractual/ Internal Serv. Charge,Recoveries & Revenue,0,0,-253098.1,253098.1,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Maintenance,Software & Maintenance,-18500,160200,167.4,160032.6,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Other Sales - Kivuto,Other,0,0,138816.75,-138816.75,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Hourly Wages,Salaries,0,0,9714.31,-9714.31,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,IT/Univ Salary/Bonus,Salaries,165372,173334,353229.44,-179895.44,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Hr.Fringes/Fringes,Fringes,49678,45438,130877.64999999998,-85439.64999999998,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Telecomm Sppt./Internal,Telecomm & Network,-360,-360,2350,-2710,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Supplies/Printing,Supplies & Printing,1200,1200,595.28,604.72,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Travel/Training,Training & Travel,1725,1725,1814,-89,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Telecomm,Telecomm & Network,1440,1440,838.9,601.1,2025-06-30,12,Jun
FY25,Technology Services,Central Services,a/o 6/30/25,Equipment/RamTech/Software,Software & Maintenance,2000,2000,26051.510000000002,-24051.510000000002,2025-06-30,12,Jun
FY25,Network Services,Network & Infrastructure,a/o 6/30/25,Supplies/Maintenance,Software & Maintenance,0,0,258176.93000000002,-258176.93000000002,2025-06-30,12,Jun
FY25,Network Services,Network & Infrastructure,a/o 6/30/25,Network/Data Supplies,Supplies & Printing,185000,185000,43524.27,141475.73,2025-06-30,12,Jun
FY25,Network Services,Network & Infrastructure,a/o 6/30/25,Network Components,Telecomm & Network,0,0,400.95,-400.95,2025-06-30,12,Jun
FY25,Network Services,Network & Infrastructure,a/o 6/30/25,Training,Training & Travel,0,0,5363.21,-5363.21,2025-06-30,12,Jun
FY25,Network Services,Network & Infrastructure,a/o 6/30/25,Staff Payments/RamTech,Equipment & Hardware,0,0,11821.36,-11821.36,2025-06-30,12,Jun
FY25,Network Services,Network & Infrastructure,a/o 6/30/25,IT Salaries,Salaries,2304381,2347108,2070742.9300000002,276365.06999999983,2025-06-30,12,Jun
FY25,Network Services,Network & Infrastructure,a/o 6/30/25,Classified On Call,Bonus/OT/VSDP,5238,5238,1576,3662,2025-06-30,12,Jun
